"screen","target","trigger","action","destination","variable_update","condition"
"WEB_GLOBAL","Header logo","click","navigate","WEB_01_Home","",""
"WEB_GLOBAL","Header store locator","click","navigate","WEB_08_StoreLocator","",""
"WEB_GLOBAL","Header cart","click","navigate","WEB_05_Cart","",""
"WEB_GLOBAL","Header saved items","click","navigate","WEB_06_SavedItems","",""
"WEB_GLOBAL","Header customization studio","click","navigate","WEB_07_CustomizationStudio","",""
"WEB_GLOBAL","Header explore items","click","navigate","WEB_01_Home#catalog","",""
"WEB_GLOBAL","Header menu","click","toggle overlay","OVERLAY_SideMenu","",""
"WEB_GLOBAL","Side menu deals","click","navigate","WEB_01_Home#featured-offers","",""
"WEB_GLOBAL","Side menu support","click","navigate","WEB_01_Home#support","",""
"WEB_GLOBAL","Side menu brands","click","navigate","WEB_01_Home#preowned","",""
"WEB_GLOBAL","Side menu discover","click","navigate","WEB_01_Home#advice","",""
"WEB_GLOBAL","Side menu mobile phones","click","navigate","WEB_02_AllPhones","",""
"WEB_GLOBAL","Selected branch text","load","bind text","Header branch label","SelectedBranch",""

"WEB_01_Home","Deals hero shop now","click","scroll","WEB_01_Home#featured-offers","",""
"WEB_01_Home","Deals category next","click","swap variant","WEB_01_Home deals page 2","DealsPage = 2",""
"WEB_01_Home","Deals category prev","click","swap variant","WEB_01_Home deals page 1","DealsPage = 1",""
"WEB_01_Home","Deals category mobile phones","click","navigate","WEB_02_AllPhones","",""
"WEB_01_Home","Offer card 1","click","navigate","WEB_03_ProductDetails","",""
"WEB_01_Home","Offer card 2","click","navigate","WEB_03_ProductDetails","",""
"WEB_01_Home","Offer card 3","click","navigate","WEB_03_ProductDetails","",""
"WEB_01_Home","Handpicked card any","click","navigate","WEB_03_ProductDetails","",""
"WEB_01_Home","Featured card any","click","navigate","WEB_03_ProductDetails","",""
"WEB_01_Home","Retail product card body","click","navigate","WEB_03_ProductDetails","",""
"WEB_01_Home","Retail add to cart","click","stay","WEB_01_Home","CartCount = CartCount + 1",""
